year,month,paymentType,distanceRange,noOfTrips
2011,4,CSH,30.0,23629
2013,4,CSH,30.0,25088
2010,4,CSH,30.0,13261
2013,4,CSH,50.0,1355
2012,4,CRE,50.0,1276
2012,4,CSH,50.0,1279
2010,4,CRE,50.0,517
2013,4,CRE,50.0,1722
2011,4,CRE,50.0,1206
2011,4,CSH,50.0,1231
2010,4,CSH,50.0,548
2013,4,CSH,70.0,124
2011,4,CRE,70.0,109
2012,4,CRE,70.0,102
2012,4,CSH,70.0,165
2013,4,CRE,70.0,183
2011,4,CSH,70.0,144
2012,4,CSH,100.0,112
2011,4,CRE,100.0,35
2013,4,CRE,100.0,54
2010,4,CSH,100.0,1
2013,4,CSH,100.0,47
2011,4,CSH,100.0,82
2012,4,CRE,100.0,43
2010,4,CRE,200.0,2
2010,4,CSH,200.0,5
2010,5,CSH,10.0,4886845
2012,5,CSH,10.0,7793668
2012,5,CRE,10.0,6921514
2010,5,CRE,10.0,2645599
2011,5,CRE,10.0,6146073
2011,5,CSH,10.0,8558764
2013,5,CSH,10.0,6698697
2013,5,CRE,10.0,7647006
2011,5,CRE,20.0,334559
2012,5,CSH,20.0,297940
2012,5,CRE,20.0,366175
2010,5,CRE,20.0,155325
2010,5,CSH,20.0,178069
2013,5,CRE,20.0,416036
2013,5,CSH,20.0,268441
2011,5,CSH,20.0,316509
2012,5,CRE,30.0,28643
2010,5,CSH,30.0,15150
2012,5,CSH,30.0,25075
2013,5,CRE,30.0,33940
2010,5,CRE,30.0,11971
2013,5,CSH,30.0,24061
2011,5,CSH,30.0,26731
2011,5,CRE,30.0,26580
2011,5,CRE,50.0,1418
2010,5,CRE,50.0,560
2010,5,CSH,50.0,739
2012,5,CRE,50.0,1493
2011,5,CSH,50.0,1447
2013,5,CSH,50.0,1184
2013,5,CRE,50.0,1632
2012,5,CSH,50.0,1287
2011,5,CSH,70.0,158
2012,5,CRE,70.0,134
2012,5,CSH,70.0,168
2013,5,CSH,70.0,81
2011,5,CRE,70.0,164
2013,5,CRE,70.0,137
2011,5,CSH,100.0,82
2013,5,CSH,100.0,27
2011,5,CRE,100.0,47
2012,5,CRE,100.0,38
2013,5,CRE,100.0,32
2012,5,CSH,100.0,81
2013,6,CSH,10.0,6326277
2012,6,CSH,10.0,7184277
2012,6,CRE,10.0,6736272
2011,6,CRE,10.0,6138765
2013,6,CRE,10.0,7315327
2010,6,CSH,10.0,4577010
2010,6,CRE,10.0,2605960
2011,6,CSH,10.0,8187216
2012,6,CSH,20.0,268899
2013,6,CRE,20.0,398626
2013,6,CSH,20.0,250371
2010,6,CRE,20.0,155452
2011,6,CRE,20.0,324612
2012,6,CRE,20.0,338606
2010,6,CSH,20.0,169266
2011,6,CSH,20.0,295511
2011,6,CRE,30.0,26135
2010,6,CSH,30.0,14786
2012,6,CRE,30.0,25472
2010,6,CRE,30.0,12762
2012,6,CSH,30.0,22425
2011,6,CSH,30.0,25533
2013,6,CSH,30.0,22356
2013,6,CRE,30.0,32337
2012,6,CSH,50.0,1577
2013,6,CSH,50.0,1147
2010,6,CSH,50.0,719
2013,6,CRE,50.0,1672
2012,6,CRE,50.0,1610
2010,6,CRE,50.0,611
2011,6,CRE,50.0,1587
2011,6,CSH,50.0,1476
2011,6,CRE,70.0,143
2013,6,CSH,70.0,80
2011,6,CSH,70.0,190
2013,6,CRE,70.0,143
2012,6,CSH,70.0,301
2012,6,CRE,70.0,162
2013,6,CSH,100.0,27
2012,6,CSH,100.0,225
2011,6,CRE,100.0,32
2012,6,CRE,100.0,65
2013,6,CRE,100.0,45
2011,6,CSH,100.0,106
2010,7,CSH,10.0,4473007
2011,7,CSH,10.0,8041357
2011,7,CRE,10.0,6043795
2013,7,CSH,10.0,6080151
2012,7,CRE,10.0,6378465
2010,7,CRE,10.0,2633540
2013,7,CRE,10.0,6920463
2012,7,CSH,10.0,6937566
2010,7,CSH,20.0,162875
2013,7,CSH,20.0,239836
2010,7,CRE,20.0,142892
2012,7,CRE,20.0,306230
2011,7,CSH,20.0,289729
2013,7,CRE,20.0,364518
2011,7,CRE,20.0,298701
2012,7,CSH,20.0,264656
2011,7,CRE,30.0,25006
2010,7,CSH,30.0,14554
2010,7,CRE,30.0,11675
2011,7,CSH,30.0,25764
2012,7,CRE,30.0,23938
2013,7,CSH,30.0,22833
2013,7,CRE,30.0,31152
2012,7,CSH,30.0,22137
2012,7,CSH,50.0,1576
2012,7,CRE,50.0,1600
2011,7,CSH,50.0,1483
2010,7,CRE,50.0,585
2011,7,CRE,50.0,1341
2010,7,CSH,50.0,727
2013,7,CRE,50.0,1558
2013,7,CSH,50.0,1272
2013,7,CSH,70.0,105
2011,7,CSH,70.0,201
2012,7,CSH,70.0,240
2012,7,CRE,70.0,165
2011,7,CRE,70.0,137
2013,7,CRE,70.0,162
2011,7,CSH,100.0,92
2013,7,CRE,100.0,43
2012,7,CSH,100.0,152
2013,7,CSH,100.0,35
2012,7,CRE,100.0,65
2011,7,CRE,100.0,40
2012,8,CRE,10.0,6431617
2013,8,CRE,10.0,6336272
2013,8,CSH,10.0,5439669
2010,8,CRE,10.0,4368444
2010,8,CSH,10.0,7439153
2011,8,CSH,10.0,7093392
2012,8,CSH,10.0,6792016
2011,8,CRE,10.0,5448518
2012,8,CRE,20.0,325095
2013,8,CRE,20.0,352256
2013,8,CSH,20.0,239962
2011,8,CSH,20.0,274684
2012,8,CSH,20.0,277900
2010,8,CRE,20.0,237366
2011,8,CRE,20.0,282508
2010,8,CSH,20.0,273137
2012,8,CRE,30.0,25062
2013,8,CRE,30.0,29099
2011,8,CRE,30.0,22881
2010,8,CSH,30.0,24511
2011,8,CSH,30.0,24373
2012,8,CSH,30.0,23951
2010,8,CRE,30.0,19011
2013,8,CSH,30.0,23266
2010,8,CRE,50.0,874
2013,8,CSH,50.0,1350
2011,8,CSH,50.0,1388
2011,8,CRE,50.0,1269
2012,8,CRE,50.0,1642
2010,8,CSH,50.0,1035
2013,8,CRE,50.0,1534
2012,8,CSH,50.0,1647
2010,8,CRE,70.0,86
2012,8,CSH,70.0,220
2013,8,CSH,70.0,136
2011,8,CRE,70.0,112
2011,8,CSH,70.0,198
2010,8,CSH,70.0,71
2012,8,CRE,70.0,196
2013,8,CRE,70.0,141
2011,8,CSH,100.0,83
2013,8,CRE,100.0,53
2011,8,CRE,100.0,33
2010,8,CSH,100.0,26
2012,8,CSH,100.0,122
2013,8,CSH,100.0,69
2010,8,CRE,100.0,30
2012,8,CRE,100.0,46
2013,8,CSH,200.0,313
2013,8,CRE,200.0,308
2011,9,CRE,10.0,6084741
2013,9,CSH,10.0,5990178
2010,9,CRE,10.0,7122196
2012,9,CSH,10.0,6672651
2012,9,CRE,10.0,6715924
2010,9,CSH,10.0,11703685
2013,9,CRE,10.0,7258825
2011,9,CSH,10.0,7751069
2013,9,CSH,20.0,252234
2011,9,CSH,20.0,296912
2011,9,CRE,20.0,324443
2010,9,CSH,20.0,420011
2012,9,CRE,20.0,348120
2012,9,CSH,20.0,272227
2013,9,CRE,20.0,403998
2010,9,CRE,20.0,388475
2011,9,CSH,30.0,26519
2010,9,CRE,30.0,30622
2010,9,CSH,30.0,35683
2013,9,CSH,30.0,23945
2012,9,CSH,30.0,23708
2011,9,CRE,30.0,27069
2012,9,CRE,30.0,27221
2013,9,CRE,30.0,33613
2011,9,CSH,50.0,1487
2010,9,CRE,50.0,1565
2010,9,CSH,50.0,1602
2012,9,CRE,50.0,1698
2011,9,CRE,50.0,1384
2012,9,CSH,50.0,1609
2013,9,CSH,50.0,1176
2013,9,CRE,50.0,1634
2012,9,CRE,70.0,210
2013,9,CRE,70.0,149
2010,9,CRE,70.0,129
2010,9,CSH,70.0,129
2011,9,CSH,70.0,184
2012,9,CSH,70.0,266
2011,9,CRE,70.0,118
2013,9,CSH,70.0,99
2011,9,CSH,100.0,119
2012,9,CRE,100.0,54
2011,9,CRE,100.0,45
2010,9,CSH,100.0,67
2013,9,CSH,100.0,47
2013,9,CRE,100.0,34
2012,9,CSH,100.0,151
2010,9,CRE,100.0,60
2013,9,CRE,200.0,1
2013,9,CSH,200.0,2
2013,10,CSH,10.0,6262955
2013,10,CRE,10.0,7807401
2012,10,CRE,10.0,6772332
2011,10,CRE,10.0,6614874
2010,10,CRE,10.0,5250129
2011,10,CSH,10.0,8364070
2012,10,CSH,10.0,6593300
2010,10,CSH,10.0,8329331
2011,10,CRE,20.0,340160
2013,10,CRE,20.0,433588
2013,10,CSH,20.0,254059
2012,10,CRE,20.0,351965
