2012,10,6712.234129384586
2010,12,5654.96911159725
2010,7,3003.2984167352165
2013,2,6126.671708225962
2012,8,5902.8986547701825
2012,4,6101.376890803237
2012,12,6659.5356799621295
2013,9,6441.417035728869
2013,10,6798.421161239246
2013,12,6323.233118863988
2014,1,194.90173959203068
2011,3,6202.716842646785
2010,11,5668.296648366245
2013,3,6917.303786593675
2013,6,6503.489259007015
2010,6,3040.8878676477375
2012,7,5740.413865336821
2012,9,6747.363656817403
2010,5,3160.902530822078
2011,2,5481.6805940686845
2010,9,8261.046240332389
2011,4,5713.023882403231
2011,12,5935.405648122431
2011,8,5392.707831044962
2013,7,6192.587920463797
2013,4,6672.998707617404
2013,11,6470.017822698569
2011,5,6169.939428002248
2013,5,6907.639189332707
2011,7,5888.904508270437
2010,8,5150.121808327526
2012,11,6256.315894316287
2011,6,6006.828942119075
2010,10,5879.686882145571
2011,11,5848.211083253335
2010,2,3532.6144811076742
2010,3,3503.6601705373355
2012,1,3824.3614033857757
2012,2,5843.962603137277
2010,4,3035.938663852852
2012,3,6338.141179686024
2011,10,6253.954064502072
2012,5,6231.924287658682
2013,1,4322.250664704004
2013,8,5901.320258718535
2011,1,3524.8232466919903
2012,6,6085.197762781968
2010,1,2801.1121288523427
2011,9,5985.7761581913155
