2012,1,CRE,6986898
2014,1,CRE,111377
2013,1,CSH,7009090
2014,1,CSH,118161
2010,1,CSH,5051508
2011,1,CRE,5553105
2013,1,CRE,7697825
2010,1,CRE,2438799
2012,1,CSH,8018824
2011,1,CSH,7928394
2013,2,CSH,6355922
2012,2,CRE,7265501
2012,2,CSH,7753793
2011,2,CSH,8121127
2010,2,CRE,3859553
2011,2,CRE,6072981
2013,2,CRE,7596811
2010,2,CSH,7178168
2013,3,CRE,8416683
2010,3,CRE,4483232
2010,3,CSH,8321388
2011,3,CRE,6835424
2013,3,CSH,7370097
2012,3,CRE,7741626
2012,3,CSH,8381309
2011,3,CSH,9204562
2012,4,CSH,8207534
2010,4,CSH,4981815
2012,4,CRE,7284094
2013,4,CRE,8062642
2010,4,CRE,2776486
2011,4,CSH,8524057
2011,4,CRE,6203406
2013,4,CSH,6934544
2010,5,CSH,5099553
2012,5,CRE,7360129
2013,5,CRE,8167242
2011,5,CSH,9004764
2012,5,CSH,8156982
2013,5,CSH,7060347
2011,5,CRE,6584114
2010,5,CRE,2835972
2010,6,CRE,2795338
2011,6,CRE,6526598
2012,6,CSH,7799068
2013,6,CSH,6636829
2010,6,CSH,4779486
2011,6,CSH,8549622
2012,6,CRE,7268692
2013,6,CRE,7780365
2013,7,CRE,7347260
2010,7,CSH,4668829
2011,7,CSH,8394726
2010,7,CRE,2809240
2012,7,CSH,7475277
2011,7,CRE,6401916
2013,7,CSH,6379594
2012,7,CRE,6845810
2010,8,CRE,4656243
2011,8,CRE,5789911
2013,8,CRE,6777556
2011,8,CSH,7430111
2012,8,CRE,6942388
2012,8,CSH,7396466
2010,8,CSH,7768781
2013,8,CSH,5792176
2013,9,CRE,7729770
2012,9,CSH,7275613
2012,9,CRE,7256516
2011,9,CRE,6474802
2011,9,CSH,8115847
2013,9,CSH,6304786
2010,9,CRE,7585890
2010,9,CSH,12216172
2013,10,CRE,8312219
2011,10,CRE,7024224
2013,10,CSH,6581643
2012,10,CRE,7325201
2010,10,CRE,5580811
2012,10,CSH,7182551
2010,10,CSH,8679635
2011,10,CSH,8733560
2013,11,CSH,6283567
2010,11,CSH,8495948
2011,11,CSH,8068100
2012,11,CRE,6761658
2012,11,CSH,6839372
2013,11,CRE,8000935
2010,11,CRE,5393526
2011,11,CRE,6417094
2012,12,CRE,7155084
2011,12,CRE,6417496
2013,12,CSH,6412537
2012,12,CSH,7500412
2010,12,CSH,8509442
2010,12,CRE,5307270
2013,12,CRE,7430441
2011,12,CSH,8497420
