31,11396796
53,548187
34,11749732
28,11830498
26,11494056
27,10336423
44,12457677
12,13920392
22,11662839
47,12177867
1,11989850
52,9563040
13,12241961
16,12531342
6,13626957
3,12042702
40,13661248
20,12642487
48,13316058
5,11957241
19,12692295
41,13748724
43,13975575
15,12603713
37,15028263
9,12555389
17,12674706
35,11914958
4,11907014
8,13784634
39,12923311
23,12366207
49,14093953
7,14328161
51,12759660
10,14351381
50,14289103
45,13750008
38,18383539
25,12115529
24,12125641
29,12038323
21,11705483
32,12384993
11,14184986
33,12312958
14,12396174
42,13862105
2,11700313
30,11848670
46,13827760
18,12648093
36,12940141
